column_val,x_input,weight_input
Amy,1,
Hans,0,
person1,1,
person2,1,
person3,1,
person4,1,
person5,0,2
person6,1,
person7,0,
person8,0,
person9,0,
person10,0,
person11,1,
person12,1,
person13,1,3
person14,1,
person15,1,
person16,0,
person17,0,
person18,0,
person19,0,
person20,0,
person21,1,
person22,1,
person23,0,
person24,1,
person25,0,
person26,0,
person27,0,
person28,0,
person29,0,4
person30,0,
person31,1,5
person32,1,
person33,1,
person34,1,
person35,1,
person36,1,
person37,0,
person38,1,
person39,0,
person40,0,
person41,0,
person42,0,
person43,1,
person44,1,
person45,1,
person46,0,
person47,1,
person48,0,
person49,0,
person50,1,
person51,0,
person52,1,
